Institution,lat,long
University of Edinburgh,55.9533,-3.1883
University of Cambridge,52.1951,0.1313
Birkbeck University of London,51.5219,-0.1303
Sheffield Hallam University,53.3786,-1.4659
University of Aberdeen,57.1648,-2.1015
University of Leeds,53.8067,-1.5550
University of Newcastle,54.9792,-1.6147
University of St Andrews,56.3417,-2.7943
University of Sheffield,53.3814,-1.4884
University of Durham,54.7650,-1.5782
University of Lancaster,54.0104,-2.7877
University of Liverpool,53.4048,-2.9653
University of Manchester,53.4668,-2.2339
University of York,53.9461,-1.0518
University of Oxford,51.7548,-1.2544
King's College London,51.5115,-0.1160
London South Bank University,51.4981,-0.1024
University of Glasgow,55.8724,-4.2900
University of Sussex,50.8677,-0.0875
Swansea University,51.6092,-3.9800
Queen's University Belfast,54.5844,-5.9340
University of Bristol,51.458447,-2.603288
Imperial College London,51.4988,-0.1749
Francis Crick Institute,51.5316,-0.1287
Cranfield University,52.0740,-0.6282
University of Strathclyde,55.8621,-4.2424
Manchester Metropolitan University,53.4703,-2.2393
University of Bradford,53.7915,-1.7661
University of Leicester,52.6211,-1.1246
Univesity of Essex,51.8777,0.9472
University of Derby,52.9388,-1.4965
University of Loughborough,52.7650,-1.2321
Keele University,53.0034,-2.2735
University of Bath,51.3782,-2.3264
London School of Economics and Political Science,51.5144,-0.1165
SOAS University of London,51.5224,-0.1293
University of Dundee,56.4582,-2.9821
London School of Hygiene & Tropical Medicine,51.5209,-0.1303
Liverpool School of Tropical Medicine,53.4086,-2.9691
University of Exeter,50.7371,-3.5351
University of Surrey,51.2431,-0.5895
UCL,51.5246,-0.1340
Middlesex University,51.6259,-0.15336
University of Birmingham,52.4506,-1.9306
Leeds Beckett University,53.80249679,-1.542997828
Edinburgh Napier University,55.9362,-3.2286
University of Hull,53.7724,-0.3668
University of Sunderland,54.9050,-1.3926
Northumbria University,55.0042,-1.5716
University of Huddersfield,53.6428,-1.7781
Glasgow Caledonian University,55.8668,-4.2500
University of Salford,53.4872,-2.2737
University of Nottingham,52.9388,-1.1981
University of East Anglia,52.6221,1.2411
University of Warwick,52.3793,-1.5615
University of West London,51.5065,-0.3039
"Goldsmiths, University of London",51.4743,-0.0354
Liverpool John Moores University,53.4065,-2.9752

