,name_of_institution,country,lat,long,,,
1,Allegheny College,USA,41.6485,-80.1455,,,
2,Amherst College,USA,42.3709,-72.517,,,
3,Ash Center for Democratic Governance and Innovation (Harvard University),USA,43.66193,-79.392804,,,
4,Auckland University of Technology,New Zealand,-36.732109,174.703094,,,
5,Berkman Klein Center for Internet & Society (Harvard University),USA,42.3783,-71.1191,,,
6,Bifröst University,Iceland,64.7667,-22.5518,,,
7,Birkbeck University of London,United Kingdom,51.5219,-0.1303,,,
8,Bryn Mawr College,USA,40.0279,-75.3145,,,
9,Butler University,USA,39.841,-86.1712,,,
10,California Institute of Technology,USA,34.1377,-118.1253,,,
11,"California State University, East Bay",USA,37.656,-122.0562,,,
12,"California State University, Fullerton",USA,33.8823,-117.8851,,,
13,College of Wooster,USA,40.8104,-81.9311,,,
14,"Columbia University, Lamont-Doherty Earth Observatory",USA,?,?,,,
15,Columbia University Libraries,USA,?,?,,,
16,Dublin Institute for Advanced Studies,Ireland,53.3313,-6.2456,,,
17,Duke University,USA,36.0014,-78.9382,,,
18,Emory University,USA,33.7971,-84.3222,,,
19,Florida Gulf Coast University,USA,26.4627,-81.7801,,,
20,Florida State University,USA,30.4419,-84.2985,,,
21,Georgia Institute of Technology,USA,33.7756,-84.3963,,,
22,Harvard Business School,USA,42.3655,-71.1221,,,
23,Harvard Divinity School,USA,?,?,,,
24,Harvard Faculty of Arts and Sciences,USA,42.3728,-71.118,,,
25,Harvard Graduate School of Design,USA,?,?,,,
26,Harvard Graduate School of Education,USA,42.3755,-71.122,,,
27,Harvard Kennedy School of Government,USA,?,?,,,
28,Harvard Law School,USA,42.3785,-71.1192,,,
29,Harvard Medical School,USA,42.3356,-71.1042,,,
30,Harvard School of Public Health,USA,42.3354,-71.1025,,,
31,Harvard University Center for the Environment,USA,42.3787,-71.1157,,,
32,Hope College,USA,42.7875,-86.1027,,,
33,Indiana University,USA,39.1682,-86.523,,,
34,Indiana University - Purdue University Indianapolis (IUPUI),USA,39.7739,-86.1763,,,
35,Jomo Kenyatta University of Agriculture and Technology,Kenya,-1.0912,37.0117,,,
36,King Abdullah University of Science and Technology (KAUST),Saudi Arabia,22.3095,39.1047,,,
37,King's College London,United Kingdom,51.5115,-0.116,,,
38,Leibniz University Hannover,Germany,52.3822,9.7178,,,
39,London South Bank University,United Kingdom,51.4981,-0.1024,,,
40,Massachusetts Institute of Technology (MIT),USA,42.3601,-71.0942,,,
41,McGill University Librarians,Canada,?,?,,,
42,"Miami University of Ohio, Library Faculty",USA,?,?,,,
43,Middlebury College,USA,44.0081,-73.176,,,
44,Middlebury Institute of International Studies at Monterey,USA,36.5993,-121.897,,,
45,National University of Distance Education (UNED),Spain,40.438,-3.7041,,,
46,Norwegian University of Life Sciences (NMBU),Norway,59.6685,10.762,,,
47,Norwegian University of Science and Technology,Norway,63.4195,10.402,,,
48,Oberlin College,USA,41.2959,-82.2211,,,
49,Ohio State University Libraries,USA,39.9992,-83.0152,,,
50,Olin College of Engineering,USA,42.293,-71.2638,,,
51,Oregon State University,USA,44.5638,-123.2794,,,
52,Pennsylvania State University,USA,40.7982,-77.8599,,,
53,Princeton University,USA,40.3431,-74.6551,,,
54,Rollins College,USA,28.5927,-81.3485,,,
55,Rutgers University,USA,40.5008,-74.4474,,,
56,Sheffield Hallam University,United Kingdom,53.3786,-1.4659,,,
57,"Shorenstein Center on Media, Politics and Public Policy (Harvard University)",USA,?,?,,,
58,Simon Fraser University,Canada,49.2781,-122.9199,,,
59,Stanford University,USA,37.4275,-122.1697,,,
60,Stanford University School of Education,USA,37.4264,-122.1684,,,
61,"Stanford University School of Education, Doctoral Students",USA,?,?,,,
62,Stony Brook University,USA,40.9081,-73.1204,,,
